
For N = 2
31.2
31.8
32.6
33.5
34.8
36.3
38.3
40.6
43.2
46.1
49.1
51.7
53.9
55.6
56.7
57.4
57.8
58.1
58.3
58.3
58.4
58.4
58.4
58.4
58.4
58.4
58.4
58.4
58.4
58.4

For N = 3
31.1
31.7
32.4
33.2
34.2
35.4
36.7
38.1
39.5
40.7
41.7
42.5
43
43.4
43.6
43.7
43.8
43.8
43.8
43.8
43.8
43.8
43.8
43.8
43.8
43.8
43.8
43.8
43.8
43.8

For N = 4
31.1
31.6
32.2
32.9
33.7
34.6
35.5
36.4
37.1
37.8
38.2
38.5
38.7
38.8
38.9
38.9
39
39
39
39
39
39
39
39
39
39
39
39
38.9
38.9

For N = 5
31
31.5
32
32.6
33.3
33.9
34.6
35.2
35.6
36
36.2
36.3
36.4
36.5
36.5
36.5
36.5
36.5
36.6
36.6
36.6
36.6
36.5
36.5
36.5
36.5
36.5
36.5
36.5
36.5

For N = 6
30.9
31.3
31.8
32.3
32.9
33.4
33.9
34.3
34.6
34.8
34.9
35
35
35.1
35.1
35.1
35.1
35.1
35.1
35.1
35.1
35.1
35.1
35.1
35.1
35.1
35.1
35.1
35.1
35

For N = 7
30.9
31.3
31.7
32.1
32.6
33
33.3
33.6
33.8
33.9
34
34.1
34.1
34.1
34.1
34.1
34.1
34.1
34.1
34.1
34.1
34.1
34.1
34.1
34.1
34.1
34.1
34.1
34.1
34.1

For N = 8
30.8
31.2
31.5
31.9
32.3
32.6
32.9
33.1
33.2
33.3
33.4
33.4
33.4
33.4
33.4
33.4
33.4
33.4
33.4
33.4
33.4
33.4
33.4
33.4
33.4
33.4
33.4
33.4
33.4
33.4

For N = 9
30.8
31.1
31.4
31.7
32.1
32.3
32.5
32.7
32.8
32.8
32.9
32.9
32.9
32.9
32.9
32.9
32.9
32.9
32.9
32.9
32.9
32.9
32.9
32.9
32.9
32.9
32.9
32.9
32.9
32.8

For N = 10
30.7
31
31.3
31.6
31.8
32.1
32.2
32.3
32.4
32.4
32.5
32.5
32.5
32.5
32.5
32.5
32.5
32.5
32.5
32.5
32.5
32.5
32.5
32.5
32.5
32.5
32.5
32.5
32.5
32.4
